time,latitude,longitude,altitude,apogeu,vel_vertical,q1,q2,q3,q4,accel_int,status,voltage_int,fix
2040,0.0,0.0,6742,13485,3,-0.7914835810661316,0.19775274395942688,0.05588745325803757,-0.5756076574325562,107,0,39,0
2060,0.0,0.0,6742,13485,0,-0.7862740755081177,0.19732096791267395,0.05768488347530365,-0.5826748013496399,107,0,39,0
2080,0.0,0.0,6742,13485,0,-0.7811322808265686,0.19679726660251617,0.05961865559220314,-0.5895326733589172,106,0,39,0
2100,0.0,0.0,6742,13485,0,-0.776091992855072,0.1961943805217743,0.061628613620996475,-0.5961466431617737,107,0,39,0
2120,0.0,0.0,6742,13485,0,-0.7710742950439453,0.19557371735572815,0.06353508681058884,-0.6026264429092407,106,0,39,0
2140,0.0,0.0,6742,13485,0,-0.7661874294281006,0.19469530880451202,0.06559234112501144,-0.608890950679779,106,0,39,0
2160,0.0,0.0,6742,13485,0,-0.7613621354103088,0.19384922087192535,0.06756126135587692,-0.6149680018424988,107,0,39,0
2180,0.0,0.0,6743,13487,0,-0.7566021680831909,0.19300217926502228,0.06954632699489594,-0.6208596229553223,106,0,39,0
2200,0.0,0.0,6743,13487,0,-0.751971960067749,0.19190312922000885,0.07167055457830429,-0.6265578269958496,107,0,39,0
2220,0.0,0.0,6743,13487,0,-0.7475146055221558,0.19065745174884796,0.07380223274230957,-0.6320006847381592,107,0,39,0
2240,0.0,0.0,6743,13487,0,-0.743181049823761,0.18925388157367706,0.07597450166940689,-0.6372541189193726,106,0,39,0
2260,0.0,0.0,6743,13487,0,-0.7390211224555969,0.18783515691757202,0.07808900624513626,-0.642236590385437,106,0,39,0
2280,0.0,0.0,6743,13487,0,-0.7350529432296753,0.18629325926303864,0.0803396925330162,-0.6469447612762451,107,0,39,0
2300,0.0,0.0,6743,13487,0,-0.7313212156295776,0.1846059113740921,0.08264429867267609,-0.6513523459434509,106,0,39,0
2320,0.0,0.0,6743,13487,0,-0.7277358770370483,0.18294422328472137,0.08495761454105377,-0.6555258631706238,107,0,39,0
